album title,album number,track title,artist,songwriter,play length ,selection number on album,category,album cover image file name,cost price,list price,sale price,date entered in inventory,sold as individual track or part of album,removal status,removal date
Assume Form,1,Assume Form,James Blake,James Blake,04:49,1,Dubstep/Electronica,https://www.google.com/search?q=James+Blake&tbm=isch&tbs=simg:CAQSmQEJ01WjZCSzhzoajQELEKjU2AQaBgg9CBUIAAwLELCMpwgaYgpgCAMSKK4ZrRm5DooZng6bDvcYtw6WDqkZojrLLbcvzjrDLZ465i-0L6gvoToaMH5r23XcvJQaIEZLzv-md28YYSS4YYm2x0eui0T0OGGAVEXnnD77T6QXbVr-YEZ7ZyAEDAsQjq7-CBoKCggIARIEvqERvQw&sa=X&ved=0ahUKEwjhz62--vffAhVFpFkKHZvVCAkQwg4IKygA&biw=1920&bih=938#imgrc=jE53TAp1w7AzxM:,1.29,1.29,N/A,01/18/2019,Album,0,N/A
Assume Form,1,Mile High,James Blake,James Blake,03:13,2,Dubstep/Electronica,https://www.google.com/search?q=James+Blake&tbm=isch&tbs=simg:CAQSmQEJ01WjZCSzhzoajQELEKjU2AQaBgg9CBUIAAwLELCMpwgaYgpgCAMSKK4ZrRm5DooZng6bDvcYtw6WDqkZojrLLbcvzjrDLZ465i-0L6gvoToaMH5r23XcvJQaIEZLzv-md28YYSS4YYm2x0eui0T0OGGAVEXnnD77T6QXbVr-YEZ7ZyAEDAsQjq7-CBoKCggIARIEvqERvQw&sa=X&ved=0ahUKEwjhz62--vffAhVFpFkKHZvVCAkQwg4IKygA&biw=1920&bih=938#imgrc=jE53TAp1w7AzxM:,1.29,1.29,N/A,01/18/2019,Album,0,N/A
Assume Form,1,Tell Them,James Blake,James Blake,03:28,3,Dubstep/Electronica,https://www.google.com/search?q=James+Blake&tbm=isch&tbs=simg:CAQSmQEJ01WjZCSzhzoajQELEKjU2AQaBgg9CBUIAAwLELCMpwgaYgpgCAMSKK4ZrRm5DooZng6bDvcYtw6WDqkZojrLLbcvzjrDLZ465i-0L6gvoToaMH5r23XcvJQaIEZLzv-md28YYSS4YYm2x0eui0T0OGGAVEXnnD77T6QXbVr-YEZ7ZyAEDAsQjq7-CBoKCggIARIEvqERvQw&sa=X&ved=0ahUKEwjhz62--vffAhVFpFkKHZvVCAkQwg4IKygA&biw=1920&bih=938#imgrc=jE53TAp1w7AzxM:,1.29,1.29,N/A,01/18/2019,Album,0,N/A
Assume Form,1,Into The Red,James Blake,James Blake,04:17,4,Dubstep/Electronica,https://www.google.com/search?q=James+Blake&tbm=isch&tbs=simg:CAQSmQEJ01WjZCSzhzoajQELEKjU2AQaBgg9CBUIAAwLELCMpwgaYgpgCAMSKK4ZrRm5DooZng6bDvcYtw6WDqkZojrLLbcvzjrDLZ465i-0L6gvoToaMH5r23XcvJQaIEZLzv-md28YYSS4YYm2x0eui0T0OGGAVEXnnD77T6QXbVr-YEZ7ZyAEDAsQjq7-CBoKCggIARIEvqERvQw&sa=X&ved=0ahUKEwjhz62--vffAhVFpFkKHZvVCAkQwg4IKygA&biw=1920&bih=938#imgrc=jE53TAp1w7AzxM:,1.29,1.29,N/A,01/18/2019,Album,0,N/A
Assume Form,1,Barefoot In The Park,"James Blake - ROSALIA","James Blake - ROSALIA",03:31,5,Dubstep/Electronica,https://www.google.com/search?q=James+Blake&tbm=isch&tbs=simg:CAQSmQEJ01WjZCSzhzoajQELEKjU2AQaBgg9CBUIAAwLELCMpwgaYgpgCAMSKK4ZrRm5DooZng6bDvcYtw6WDqkZojrLLbcvzjrDLZ465i-0L6gvoToaMH5r23XcvJQaIEZLzv-md28YYSS4YYm2x0eui0T0OGGAVEXnnD77T6QXbVr-YEZ7ZyAEDAsQjq7-CBoKCggIARIEvqERvQw&sa=X&ved=0ahUKEwjhz62--vffAhVFpFkKHZvVCAkQwg4IKygA&biw=1920&bih=938#imgrc=jE53TAp1w7AzxM:,1.29,1.29,N/A,01/18/2019,Album,0,N/A
Native Tongue,2,Let It Happen,Switchfoot,Switchfoot,04:41,1,Alternative Rock,https://www.google.com/search?q=switchfoot+native+tongue+album&tbm=isch&tbs=simg:CAQSmQEJ4gZh1kb5Z9oajQELEKjU2AQaBggVCAMICwwLELCMpwgaYgpgCAMSKMgDmQqIFPEJohSECfoTgRKBCcwCqj3SPaQ6qz2gJNE9zC2jOuMtzi0aMCLixyLuouJJ3wuSgNpjIdjO2pHEXNpOioujFV0Vv1smXg2UnEQAnl9FjxSYRAduASAEDAsQjq7-CBoKCggIARIEnJqVdww&sa=X&ved=0ahUKEwiOhYXh_vffAhWT14MKHRywChsQwg4IKygA&biw=1920&bih=938#imgrc=gS-kMugPts563M:,1.29,1.29,N/A,01/04/2019,Album,0,N/A
Native Tongue,2,Native Tongue,Switchfoot,Switchfoot,04:38,2,Alternative Rock,https://www.google.com/search?q=switchfoot+native+tongue+album&tbm=isch&tbs=simg:CAQSmQEJ4gZh1kb5Z9oajQELEKjU2AQaBggVCAMICwwLELCMpwgaYgpgCAMSKMgDmQqIFPEJohSECfoTgRKBCcwCqj3SPaQ6qz2gJNE9zC2jOuMtzi0aMCLixyLuouJJ3wuSgNpjIdjO2pHEXNpOioujFV0Vv1smXg2UnEQAnl9FjxSYRAduASAEDAsQjq7-CBoKCggIARIEnJqVdww&sa=X&ved=0ahUKEwiOhYXh_vffAhWT14MKHRywChsQwg4IKygA&biw=1920&bih=938#imgrc=gS-kMugPts563M:,1.29,1.29,N/A,10/19/2018,Album,0,N/A
Native Tongue,2,All I need,Switchfoot,Switchfoot,03:08,3,Alternative Rock,https://www.google.com/search?q=switchfoot+native+tongue+album&tbm=isch&tbs=simg:CAQSmQEJ4gZh1kb5Z9oajQELEKjU2AQaBggVCAMICwwLELCMpwgaYgpgCAMSKMgDmQqIFPEJohSECfoTgRKBCcwCqj3SPaQ6qz2gJNE9zC2jOuMtzi0aMCLixyLuouJJ3wuSgNpjIdjO2pHEXNpOioujFV0Vv1smXg2UnEQAnl9FjxSYRAduASAEDAsQjq7-CBoKCggIARIEnJqVdww&sa=X&ved=0ahUKEwiOhYXh_vffAhWT14MKHRywChsQwg4IKygA&biw=1920&bih=938#imgrc=gS-kMugPts563M:,1.29,1.29,N/A,12/14/2018,Album,0,N/A
Native Tongue,2,Voices,Switchfoot,Switchfoot,02:58,4,Alternative Rock,https://www.google.com/search?q=switchfoot+native+tongue+album&tbm=isch&tbs=simg:CAQSmQEJ4gZh1kb5Z9oajQELEKjU2AQaBggVCAMICwwLELCMpwgaYgpgCAMSKMgDmQqIFPEJohSECfoTgRKBCcwCqj3SPaQ6qz2gJNE9zC2jOuMtzi0aMCLixyLuouJJ3wuSgNpjIdjO2pHEXNpOioujFV0Vv1smXg2UnEQAnl9FjxSYRAduASAEDAsQjq7-CBoKCggIARIEnJqVdww&sa=X&ved=0ahUKEwiOhYXh_vffAhWT14MKHRywChsQwg4IKygA&biw=1920&bih=938#imgrc=gS-kMugPts563M:,1.29,1.29,N/A,01/18/2019,Album,0,N/A
Native Tongue,2,Dig New Streams,Switchfoot,Switchfoot,03:45,5,Alternative Rock,https://www.google.com/search?q=switchfoot+native+tongue+album&tbm=isch&tbs=simg:CAQSmQEJ4gZh1kb5Z9oajQELEKjU2AQaBggVCAMICwwLELCMpwgaYgpgCAMSKMgDmQqIFPEJohSECfoTgRKBCcwCqj3SPaQ6qz2gJNE9zC2jOuMtzi0aMCLixyLuouJJ3wuSgNpjIdjO2pHEXNpOioujFV0Vv1smXg2UnEQAnl9FjxSYRAduASAEDAsQjq7-CBoKCggIARIEnJqVdww&sa=X&ved=0ahUKEwiOhYXh_vffAhWT14MKHRywChsQwg4IKygA&biw=1920&bih=938#imgrc=gS-kMugPts563M:,1.29,1.29,N/A,01/18/2019,Album,0,N/A
