Album number,album title,release date,artist,recording label,number of tracks,data entered into inventory,cost price,list price,sale price,removal status,removal date
1,Assume Form,1/18/2019,James Blake,Polydor Records,12,1/18/2019,9.49,9.49,N/A,0,N/A
2,Native Tongue,1/18/2019,Switchfoot,Fantasy,14,1/18/2019,9.49,9.49,N/A,0,N/A
3,Aint Nothin to It,1/18/2019,Cody Johnson,CoJo Music/Warner Bros.,15,1/18/2019,9.49,9.49,N/A,0,N/A
4,Mint,1/18/2019,Alice Merton,Mom+Pop,11,1/18/2019,8.99,8.99,N/A,0,N/A
5,Future Hndrxx Presents: The Wizrd,1/18/2019,Future,Rap & Hip-Hop,20,1/18/2019,12.99,12.99,N/A,0,N/A
6,Divide,3/3/2017,Ed Sheeran,"Asylum, Atlantic",16,3/3/2017,12.49,12.49,N/A,0,N/A
7,Origins,11/9/2018,Imagine Dragons,Kid Ina Korner / Interscope,12,11/9/2018,11.49,11.49,N/A,0,N/A
8,songs for carmella: lullabies & sing-a-longs,1/17/2019,Christina Perri,Elektra (NEK),20,1/17/2019,9.49,9.49,N/A,0,N/A
9,A Real Good Kid [Explicit],1/18/2019,Mike Posner,Island Records,11,1/18/2019,9.49,9.49,N/A,0,N/A
10,Heard It In A Past Life [Explicit],1/18/2019,Maggie Rogers,Capitol Records,12,1/18/2019,9.49,9.49,N/A,0,N/A
11,Dirty Computer,4/27/2018,Janelle Monáe,Bad Boy,14,1/20/2019,13.26,13.26,N/A,0,N/A
12,Camila,1/12/2018,Camila Cabello,Epic/Syco,11,1/20/2019,16.79,16.79,N/A,0,N/A
13,Kamikaze,31/8/2018,Eminem,Aftermath/Interscope/Shady,13,3/3/2017,16.79,16.79,N/A,0,N/A
14,Live In Texas,18/11/2018,Linkin Park,Warner Reprise Video/Warner Bros./Machine Shop,12,3/3/2017,16.79,16.79,N/A,0,N/A
