album title,album number,track title,artist,songwriter,play length ,selection number on album,category,album cover image file name,cost price,list price,sale price,Release Date,sold as individual track or part of album,removal status,removal date,Album List Price,Album Cost,Genre,Label,number of tracks
Assume Form,1,Assume Form,James Blake,James Blake,4:49,1,Dubstep/Electronica,assets/album_covers/James-Blake-Assume-Form-JPG.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Pop/Electropop/R&B,Polydor Records,12
Assume Form,1,Mile High,James Blake,James Blake,3:13,2,Dubstep/Electronica,assets/album_covers/James-Blake-Assume-Form-JPG.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Pop/Electropop/R&B,Polydor Records,12
Assume Form,1,Tell Them,James Blake,James Blake,3:28,3,Dubstep/Electronica,assets/album_covers/James-Blake-Assume-Form-JPG.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Pop/Electropop/R&B,Polydor Records,12
Assume Form,1,Into The Red,James Blake,James Blake,4:17,4,Dubstep/Electronica,assets/album_covers/James-Blake-Assume-Form-JPG.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Pop/Electropop/R&B,Polydor Records,12
Assume Form,1,Barefoot In The Park,James Blake - ROSALIA,James Blake - ROSALIA,3:31,5,Dubstep/Electronica,assets/album_covers/James-Blake-Assume-Form-JPG.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Pop/Electropop/R&B,Polydor Records,12
Native Tongue,2,Let It Happen,Switchfoot,Switchfoot,4:41,1,Alternative Rock,assets/album_covers/SF_NT_RGB_5x5.jpg,1.29,1.29,N/A,1/4/2019,Album,0,N/A,9.49,9.49,Alternative rock,Fantasy,14
Native Tongue,2,Native Tongue,Switchfoot,Switchfoot,4:38,2,Alternative Rock,assets/album_covers/SF_NT_RGB_5x5.jpg,1.29,1.29,N/A,10/19/2018,Album,0,N/A,9.49,9.49,Alternative rock,Fantasy,14
Native Tongue,2,All I need,Switchfoot,Switchfoot,3:08,3,Alternative Rock,assets/album_covers/SF_NT_RGB_5x5.jpg,1.29,1.29,N/A,12/14/2018,Album,0,N/A,9.49,9.49,Alternative rock,Fantasy,14
Native Tongue,2,Voices,Switchfoot,Switchfoot,2:58,4,Alternative Rock,assets/album_covers/SF_NT_RGB_5x5.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Alternative rock,Fantasy,14
Native Tongue,2,Dig New Streams,Switchfoot,Switchfoot,3:45,5,Alternative Rock,assets/album_covers/SF_NT_RGB_5x5.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Alternative rock,Fantasy,14
Aint Nothin To It,3,Ain't Nothin' to It,Cody Johnson,Cody Johnson,3:22,1,Country,assets/album_covers/AintNothintIt.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Country,CoJo Music/Warner Bros.,15
Aint Nothin To It,3,Noise,Cody Johnson,Cody Johnson,3:09,2,Country,assets/album_covers/AintNothintIt.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Country,CoJo Music/Warner Bros.,15
Aint Nothin To It,3,Fenceposts,Cody Johnson,Cody Johnson,2:57,3,Country,assets/album_covers/AintNothintIt.jpg,1.29,1.29,N/A,1/18/2019,Album,0,N/A,9.49,9.49,Country,CoJo Music/Warner Bros.,15
